Major_Category_en,Sub_Category_en,Major_Category_ja,Sub_Category_ja,Major_Category_ko,Sub_Category_ko,Korean,Japanese,English
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),嫦娥,嫦娥,Chang'e
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),名無しの本読み妖怪,名無しの本読み妖怪,Unnamed Book-Reading Youkai
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),ツチノコ,ツチノコ,Tsuchinoko
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),酒虫,酒虫,Shuchuu
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),月の都の門番,月の都の門番,Gateguards of the Lunar Capital
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),水江浦島子,水江浦島子,Mizue no Uranoshimako
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),岩笠,岩笠,Iwakasa
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),木花咲耶姫,木花咲耶姫,Konohana-Sakuyahime
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),仙台四郎（福の神）,仙台四郎（福の神）,Shirou Sendai
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),運松,運松,Unshou
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),座敷童,座敷童,Zashiki-warashi
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),ホフゴブリン,ホフゴブリン,Hobgoblin
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),万歳楽,万歳楽,Manzairaku
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),ヤマネ,ヤマネ,Yamane
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),ケセランパサラン,ケセランパサラン,Kesaran Pasaran
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),小鈴の両親,小鈴の両親,Kosuzu's parents
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),煙々羅,煙々羅,Enenra
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),チュパカブラ,チュパカブラ,Chupacabra
Characters,Other (Books),人妖部門,その他（書籍）,인요부문,기타(서적),沓頬,沓頬,Kutsutsura
